course_code,units,title,description
EAE 001,1 unit,Introduction to Aerospace Science Engineering,"Description of the field of aerospace engineering with examples from industry, government, and research. Aerospace engineering principles, ethics, and responsibilities."
EAE 010,2 units,From the Wright Brothers to Drones & Quadcopters,"History of aircraft and its influence on society. Topics covered will include Unmanned Aerial Vehicles, safety considerations, economics and privacy issues. Aerodynamics, stability and control will also be introduced."
EAE 099,1-5 units,Special Study for Undergraduates,Special study for undergraduates.
EAE 126,4 units,Theoretical & Computational Aerodynamics,Development of general equations of fluid motion. Study of flow field kinematics and dynamics. Flow about a body. Thin airfoil theory. Viscous effects. Applications of numerical methods to wing analysis and design.
EAE 127,4 units,Applied Aircraft Aerodynamics,"Principles, governing equations, and predictive theories for aircraft aerodynamics. Lift and drag of 2D airfoils, 3D wings, and high-lift devices."
EAE 129,4 units,Stability & Control of Aerospace Vehicles,Aircraft and spacecraft stability and control. Derivation of fundamental equations of motion for aircraft/spacecraft. Fundamentals of feedback. Aircraft flight control systems. Spacecraft attitude control systems.
EAE 130A,4 units,Aircraft Performance & Design,"Major aircraft design experience with multiple realistic constraints including aerodynamics, performance analysis, weight estimation, stability and control, and appropriate engineering standards."
EAE 130B,4 units,Aircraft Performance & Design,"Major aircraft design experience including detailed design, cost analysis, analysis of aircraft structure, propulsion system, aerodynamics, aircraft handling qualities, manufacturing, or meeting relevant engineering standards."
EAE 133,4 units,Finite Element Methods in Structures,"Introduction to the aerospace structural design process. History of aircraft and spacecraft materials. Effects of loading beyond elastic limit. Deflections and stresses due to combined loading. Virtual work principles, and finite element methods. Applications to aerospace structures."
EAE 135,4 units,Aerospace Structures,"Analysis and design methods used in aerospace structures. Shear flow in open, closed and multicell beam cross-sections, buckling of flat and curved sheets, tension field beams, local buckling."
EAE 137,4 units,Structural Composites,Overview of materials and technology for creating structures from fiber reinforced resin matrix composite material systems. Elementary design analysis and case studies emphasizing aeronautical applications.
EAE 138,4 units,Aircraft Propulsion,"Analysis/design of modern aircraft gas turbine engines. Development/application of cycle performance prediction techniques. Introduction to design of inlets, compressors, burners, turbines, and nozzles. Cycle design for specific applications."
EAE 140,4 units,Rocket Propulsion,"Fluid and thermodynamics of rocket engines, liquid and solid rocket propulsion. Space propulsion concepts and space mission requirements."
EAE 142,4 units,Orbital Mechanics,"Satellite orbits, multistage rockets, current global boosters, and new technologies. Design application problems include satellites, trajectory optimizations, and interplanetary trajectories."
EAE 143A,4 units,Space Vehicle Design,Governing equations and operational practices of robotic and human space travel. Principles of Systems Engineering are introduced and are used as a basis for a team project in spacecraft reverse-engineering and design.
EAE 143B,4 units,Space Mission Design,"Introduction to space systems design including space project organization, requirements definition & specification, concepts formulation, system tradeoffs, and subsystem design. Prototype space mission concepts & multidisciplinary mission design."
EAE 189C,4 units,Flight Simulation & Testing in Design of Aircraft & Spacecraft,"Teaches flight test techniques together with data analysis methods to prepare students for any type of flight testing including fixed wing, rotary wing and launch vehicles."
EAE 198,1-5 units,Directed Group Study,Directed group study.
EAE 199,1-5 units,Special Study for Advanced Undergraduates,Special study for advanced undergraduates.
AAS 010,4 units,African-American Culture & Society,"Critical examination of the historical, political, social, and economic factors that have affected the development and status of African-American people in contemporary society."
AAS 012,4 units,Introduction to African Studies,"Introduction to African Studies which will focus on the various disciplinary perspectives through which African society and culture are generally studied. A survey of methods, resources and conceptual tools for the study of Africa."
AAS 015,4 units,Introduction to African American Humanities,"Introduction to the humanist tradition developed by writers, philosophers, and artists of African descent in the West. Attention also given to African sources, as well as European, Caribbean, Latin-American, and North American variations on this tradition."
AAS 016,4 units,Verbal & Performance Arts in Africa,"African verbal arts; oral texts from different African cultures. Types of critical response to oral texts, role of oral artists, context and esthetics of oral performance in Africa."
AAS 017,4 units,Women in African Societies,"Gender relations in traditional and contemporary African society. Involvement of African women in politics, religion, the economy, the arts. African responses to feminist theory. Images of women in African literature."
AAS 018,4 units,Introduction to Caribbean Studies,"Introduction to the contemporary culture, peoples, politics, and societies of the Caribbean. Topics include movements of people, goods and ideas across the Atlantic world and creative productions within the Caribbean."
AAS 050,4 units,Black Popular Culture,"Survey of the African American images in popular culture (film, television, comedy, sports and music)."
AAS 051,4 units,History of Afro American Dance,"Evolution of African-American dance, tracing its history and development from West and Central Africa to the United States. Investigates the social and cultural relevance of African American dance and its artistic merits through  contributions from its choreographers and performers."
AAS 052,4 units,African Traditional Religion,"Introduction to traditional religions of the sub-Saharan African peoples: emphasis on myths, rituals and symbols in West, East, Central and South African indigenous religions. Examines themes: sacred kingship, divination system, women, prophecy, conversion and adaptation to Islam and Christianity."
AAS 053,4 units,Black California,Introduction to the experiences and contributions of people of African descent in California from the early 18th century to the present.
AAS 080,4 units,Introduction to Black Politics,"Introduction to the analysis of Afro-American politics, using conceptual frameworks from political science and other social sciences."
AAS 099,1-5 units,Special Study for Undergraduates,Special study for undergraduates.
AAS 100,4 units,Survey of Ethnicity in the US,"Sociological and historical analysis of the experience, culture, and relations of and between groups considered racial and/or ethnic minorities in the United States."
AAS 101,4 units,Introduction to Research in the Afro-American Community,Introductory survey of Afro-American Studies methods and techniques; problems and methodology in Afro-American Studies.
AAS 103,4 units,The Black Human Rights Tradition,Key figures and frameworks in the Black human rights tradition. Significance of Black intellectuals and activists in social movements toward an expanded human rights tradition. Analysis and application of Black studies methods to contemporary social issues.
AAS 107A,4 units,African Descent Communities & Culture in the Caribbean & Latin America,"Origin and development of African descent communities and cultures in the Caribbean, and Latin America. Similarities and differences among African descent communities and cultures in terms of religious practices, music, and national identity."
AAS 107B,4 units,African Descent Communities & Culture in North America,"Study of the origin and development of African descent communities and cultures in the U.S.A., Canada, and Mexico."
AAS 107C,4 units,African Descent Communities & Culture in Asia,Study of the origin and development of African Descent communities and cultures in Asia.
AAS 107D,4 units,African Descent Communities & Cultures in Europe,Study of the origin and development of African Descent communities and cultures in Europe.
AAS 110,4 units,West African Social Organization,"Ecology, population, social and political organization, and culture of West Africa in the precolonial, colonial, and post-colonial periods."
AAS 111,4 units,Cultural Politics in Contemporary Africa,"Themes and style of new cultural forms in Africa as displayed in art, music, film and writing, especially in regard to blending of indigenous and foreign influences. Social and political forces shaping contemporary cultural expression."
AAS 115,4 units,Kingdoms in Contemporary African Politics,Kingdoms and monarchies in sub-Saharan Africa and their role in contemporary politics through the comparative political economy approach.
AAS 115V,4 units,Kingdoms in Contemporary African Politics,Kingdoms and monarchies in sub-Saharan Africa and their role in contemporary politics through the comparative political economy approach.
AAS 116,4 units,Presidential Politics in Africa,"Political leadership in sub-Saharan Africa, focusing on historical, institutional, and biographical influences and outcomes through political economy approaches."
AAS 123,4 units,Black Female Experience in Contemporary Society,"Black female social, intellectual, and psychological development. Black women's contributions in history, literature, and social science; life experiences of Black women and philosophical underpinnings of the feminist movement."
AAS 130,4 units,Education in the African-American Community,Examination of the history of the education of African Americans in the United States. Examination and critique of contemporary theories concerning the schooling of African Americans. (Former AAS 140.)
AAS 133,4 units,The Black Family In America,"Analysis of social science research to examine relationship between black (African-descent) family structures, patterns of functioning, and political, economic, and social conditions in the U.S."
AAS 136,4 units,Black Women & Food,"Black women’s relationships with food. Historical and contemporary representations, self-representations, and misrepresentations in popular culture. Images of African American women in their roles as providers, producers, preparers and consumers of food in both domestic and public arenas from the periods of Black people’s enslavement up through the 21st century."
AAS 138,4 units,"AIDS, Race, Gender & Sexuality in Black Communities","Critical examination of how the intersections of gender, religion, race, sexuality, and socioeconomic status have perpetuated the marginalization of African Americans in public health. Focus on vulnerabilities to HIV/AIDS in Black communities."
AAS 141,4 units,Psychology of the African American Experience,"Introduction to the psychological issues faced by African Americans. Description of any disparities in mental health care experienced by African American and Diaspora populations in the United States. Analysis of issues from European/Western and Afrocentric frame of reference. Emphasis on Optimal Theory, a psychological theory based on an Afrocentric world view."
AAS 145A,4 units,Black Social & Political Thought,Exploration and analysis of Black social and political thought in the Americas.
AAS 145B,4 units,Black Intellectuals,"Exposition and critical analysis of selected theoretical writings of Black intellectuals, and especially political and social thinkers, in the Americas."
AAS 150A,4 units,Afro-American Visual Arts Tradition: A Historical & Cultural Study,"Afro-American visual arts tradition, folk and formal, in historical and cultural context, from 1600 through Reconstruction."
AAS 150B,4 units,Afro-American Visual Arts Tradition: A Historical & Cultural Study,"Afro-American visual arts tradition, folk and formal, in historical and cultural context, from Reconstruction to the present."
AAS 151,4 units,Afro-American Vernacular Music & Verbal Arts,"Socio-political dimensions of Afro-American musical forms like spiritual, work song, minstrelsy blues, rhythm and blues, jazz, gospel, soul and contemporary pop, and related verbal arts like preaching, toasting, rapping."
AAS 152,4 units,Major Voices in Black World Literature,Recurrence of cultural tropes in the works of major black world authors and formation of an African-oriented canon. Principal activities include critical reading and discovery of literature as a cultural resource.
AAS 153,4 units,African Literature,Colonial and post-colonial sub-Saharan African literature and the African oral traditions from which it emerged. Genres and themes of African literature from the 19th century to the present.
AAS 155A,4 units,"African-American Dance & Culture in the United States, Brazil & the Caribbean","Comparative study of the African American dance forms in the U.S.A., Brazil, Haiti, Cuba, Jamaica, Barbados, and Trinidad. Examination of ritual, folk, and popular dance forms and the socio/historical factors that have influenced these forms."
AAS 156,4 units,Language & Identity in Africa & the African Diaspora,"Relationship between language and identity in literature from Africa and the African Diaspora. Use of pidgins, Creoles, translation from African languages and impact of language policies."
AAS 157,4 units,Literature & Society in South Africa,"Political and social developments in 20th-century South Africa as illustrated by a range of South African writing. Response of different writers to race relations, impact of government policy on types and context of writing."
AAS 160,4 units,African-American Folklore,"Theory and history of African American folklore and folklife, including music, material culture, oral narrative, proverbs, and humor. African and Caribbean cultural influences on New World folk genres will be probed."
AAS 162,4 units,Islam in Africa & the Americas,Comparative and historical survey of Islam in the regional and cultural settings of Sub-Saharan Africa and the Americas.
AAS 163,4 units,African Religions in the Americas,"Comparative study of African religious heritage in the Americas: Jamaica, Trinidad, Cuba, U.S.A., Haiti, and Brazil. Emphasis on the origins and development of Candomble, Santeria, Shango, Vodun, and Rastafarianism in the New World."
AAS 165,4 units,Afro-Christianity & the Black Church,"Examination of the historical role of Christian belief and practice as well as the institution of the Black Church in the experience of African Americans, from slavery to the present."
AAS 168,4 units,Black Documentary: History & Practice,"Study of Black documentary history and understanding of the use of the documentary form for political purposes. Discussion of documentary theory. Each student, singly or in a team, will create and carefully edit a documentary project."
AAS 169,4 units,History of African American Television,History of the representation of African Americans in television; how the representations reflect social and political forces in American society. Role of African Americans in actively shaping their representation.
AAS 170,4 units,African-American Film & Video,Comparative approach in the study of fictional film and video dealing with the African American experience drawing on film and cultural studies to examine and discuss selected works.
AAS 171,4 units,Black African & Black European Film & Video,"Comparative approach in the study of dramatic films and videos that treat black life in Africa and Europe. Critical attention focused on the imaginative construction of ethnicity, race, nationality, gender, and sexuality in each particular work."
AAS 172,4 units,Diaspora & New Black Identities,"Critical analysis about what it means to be Black/African American in the United States today. Topics include old and new diasporas, immigration, national origin, language, religion, class, education, politics, identity and cultural heritage."
AAS 175A,4 units,Black Documentary: History & Theory,Black documentary history and documentary theory. Use of black documentary for political purposes.
AAS 175B,4 units,Black Documentary Practicum,"Creation of documentary projects, with students working in production crews."
AAS 176,4 units,The Politics of Resources,"Examination of the ways in which the processes of the extraction, purification and use of natural resources and the complex regimes of valuation and commodification they (re)produce lead to cooperation and conflict in contemporary Africa and beyond."
AAS 177,4 units,Politics of Life in Africa,"Existing (in)capacities in the structures of state and society in Africa for people to live well. Topics include institutions and practices that define state and civil society encounters in Africa; democracy, ethnicity, economic crisis, religion, citizenship, etc."
AAS 178,4 units,African Modernity & Globalization,"Exploration of modernity and globalization and their dimensions and impacts in/on Africa. Examination of modern necessities and constrains in Africa in relation to (neo)colonialism, transnational encounters, technology,  gender, risk, ritual, identity, culture, etc."
AAS 180,4 units,Race & Ethnicity in Latin America,"Social and political effects of racial and ethnic categorization in Latin America, including issues of economic production, citizenship, national belonging, and access to resources. Emphasis is on peoples of African, Indigenous, and Asian descent."
AAS 181,4 units,Hip Hop in Urban America,"History, aesthetics, urban context, and economics of hip-hop in the US, and its globalization. Hip-hop's four artistic elements-rap, deejaying, breakdance, and aerosol art-allow the examination of issues of race, ethnicity, and gender in youth culture and American society."
AAS 182,4 units,Hip Hop Culture & Globalization,"Investigation of hip-hop youth cultures outside the United States using globalization and Cultural Studies theories. Analysis of international hip-hop sites in Africa, Asia, Europe, South America, and the Middle East through reading, discussion, and visiting virtual sites."
AAS 183A,4 units,"Policing, Prison, & Protest in Local Perspective","Study of the history and current state of policing, prisons and protest movements in the U.S. through Black Studies framework and methods."
AAS 183B,4 units,"Policing, Prison, & Protest in Global Perspective","Study of the history and current workings of police, prisons, and protest movements globally through Black Studies frameworks and methods."
AAS 185,4 units,Topics in African American Film,Intensive study of special topics in African American film.
AAS 190,4 units,Topics in African & African-Diaspora Studies,Intensive treatment of a special topic or problem in African or African Diaspora Studies.
AAS 192,1-8 units,Internship in African-American & African Studies,"Supervised internship in community, government, or private institutions, in all subject areas offered by the African American & African Studies Program."
AAS 194HA,4 units,Special Study for Honors Students,"Directed reading, research and writing culminating in preparation of a senior honors thesis under the direction of faculty advisor."
AAS 194HB,4 units,Special Study for Honors Students,"Directed reading, research and writing culminating in preparation of a senior honors thesis under the direction of faculty advisor."
AAS 197T,1-5 units,Tutoring in Afro-American Studies,Leading of small voluntary discussion groups affiliated with one of the department's regular courses.
AAS 198,1-5 units,Directed Group Study,Directed group study.
AAS 199,1-5 units,Special Study for Advanced Undergraduates,Special study for advanced undergraduates.
AAS 201,4 units,Critical Foundations in African American Studies,"Introduction to history of African American Studies. Topics include: research agendas, policy implications, debates, crises, and institutional frameworks."
AAS 202,4 units,Critical Foundations in African Studies,"Introduction to the history and current organization of African Studies as area of intellectual investigation. Offers an opportunity to review research agenda and policy implications, debates, crises, and institutional frameworks surrounding the production of knowledge about Africa."
AAS 203,4 units,Critical Foundations in African Diaspora Studies,"Integrative conceptual framework includes History, Geography, Political Economy, Culture, Aesthetics as tools to investigate the African Diaspora. Engage African Diaspora theories within student's research projects understanding issues developing from the movement of Africans to the rest of the world."
AAS 204,4 units,Methodologies in African American & African Studies,"Relationship between theory and methodology, with emphasis on identifying relevant methodological approaches and constructing theoretically informed research projects for studying the experience of people of African descent whether on the African continent or in the rest of the world."
AAS 290,4 units,Special Topics in African/African Diaspora/African American Studies,"Intensive study in special thematic topics in Africa, African Diaspora, and African American Studies. Course materials to be selected by the instructor."
AAS 298A,1-5 units,Directed Group Study in African American & African Diaspora Studies,Group study.
AAS 298B,1-5 units,Directed Group Study in African Studies,Directed group study in African Studies.
AAS 299,1-12 units,Directed Research,Directed research.
AAS 396,1-4 units,Teaching Assistant Training Practicum,Teaching assistant training practicum.
AGC 290,1 unit,Seminar,"Selected topics in agricultural and environmental chemistry, presented by students."
AGC 298,1-5 units,Group Study,"The chemistry and biochemistry of foods, nutritional chemicals, pesticides, and other special topics as they apply to agricultural and environmental chemistry."
AGC 299,1-12 units,Research,Arrangements should be made well in advance with a faculty member of the Group in Agricultural & Environmental Chemistry.
TAE 010,3 units,Introduction to Agricultural & Environmental Technologies,"Technologies of agriculture and the environmental sciences. History & revolution of industrial technology and its impacts on agriculture, environment, energy, and bioproducts; types of sensing technologies; communication and information transfer technologies; artificial intelligence, technologies for control of automatic processes; technologies for the production of food, bioproducts, clean energy and water purification; gene-editing technology; wearable technologies."
TAE 014,4 units,Introduction to Wearable Materials & Bioproducts,"Technical terminologies describing chemical structures and properties of polymers, biopolymers, fibers and fabrics. Introduction to manufacturing processes, colorations, coating, printing, and basic performances of fibers and fabrics, and properties for functional wearable products."
TAE 015,3 units,Agricultural & Wood Framed Structures,"Construction technologies for small farms. Design and construction of typical farm structures utilizing CAD, common construction tools and techniques while exploring the effects of wood properties on structures."
TAE 020,4 units,Sustainable Energy Technologies,"Sustainable and efficient energy technologies and their application in agriculture and other sectors. Basic principles of energy efficiency, conservation, and conversion technologies using solar, wind, water, biomass, geothermal, and other renewable sources. Environmental impacts and energy policy. Experiential learning about solar drying, controlled environment agriculture, net-zero energy building, electricity generation, energy storage, biofuels, and integrated waste management; field visits."
TAE 030,4 units,Mobile Communication & Computing Technologies for Agriculture & the Environment,"Modern computer technologies and the applications of sensing technologies and the Internet of Things (IoT) in agriculture and the environment. IoT and embedded devices; history and evolution of IoT, communication, and computing technologies; sensors and actuators; microcontrollers; data communication technology; introduction to data analysis and data visualization; designing web applications; and hands‐on IoT-based projects."
TAE 092,1-12 units,Internship in Agricultural & Environmental Technology,Supervised internship in agricultural and environmental technology.
TAE 098,1-5 units,Directed Group Study,Directed group study.
TAE 099,1-5 units,Special Study for Lower Division Students,Special study for lower division students.
TAE 100,4 units,Smart Control Systems for Agricultural & Environmental Technologies,"Smart devices that communicate, sense their environment, and control their environment. Application examples include smart plant & animal care, and irrigation & fertigation. Technologies include Supervisory Control & Data Acquisition (SCADA) and Programmable Logic Controllers (PLCs) for applications in agricultural, environmental, and food sciences."
